gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
SARS2,0.2510466222337529,0.2360758585713398,416,0.24552245633251335,0.23691200237065652,97,0.24828453928313313,0.24552245633251335,416,23,416.0,97.0,97.0,GATA3
PPP4C,0.24393809104599015,0.2392825307619758,171,0.25175096746097275,0.2402476028712231,42,0.24784452925348144,0.24393809104599015,171,24,171.0,42.0,42.0,GATA3
PDCL,0.23314317435038623,0.21696124125469457,1271,0.2613493178474449,0.24919478655963126,1501,0.24724624609891557,0.23314317435038623,1501,25,1271.0,1501.0,1271.0,GATA3
HPS1,0.20000214227076377,0.19588111393404473,302,0.2926717890874027,0.29102260005888153,230,0.24633696567908325,0.20000214227076377,302,26,302.0,230.0,230.0,GATA3
DOHH,0.2281190857289268,0.2122804177091624,1562,0.2617437997099398,0.2632180754388667,1051,0.2449314427194333,0.2281190857289268,1562,27,1562.0,1051.0,1051.0,GATA3
COX15,0.20856749368370014,0.19270605111155803,97,0.28084845823507776,0.26497284469848253,246,0.24470797595938895,0.20856749368370014,246,28,97.0,246.0,97.0,GATA3
MLST8,0.24502077829797347,0.23406594289720137,130,0.2434801961482557,0.23651392493188164,563,0.2442504872231146,0.2434801961482557,563,29,130.0,563.0,130.0,GATA3
BRD1,0.194558493938266,0.1751882173138884,291,0.2824118988749199,0.2723157088936763,135,0.23848519640659294,0.194558493938266,291,30,291.0,135.0,135.0,GATA3
MYB,0.2203737552286791,0.2304843694815704,1024,0.2536519653442072,0.25878688600884103,1221,0.23701286028644314,0.2203737552286791,1221,31,1024.0,1221.0,1024.0,GATA3
TEFM,0.22239605185839967,0.22133755840318298,68,0.2478979595625877,0.2510353013573839,87,0.23514700571049368,0.22239605185839967,87,32,68.0,87.0,68.0,GATA3
KPNA1,0.14751043227365213,0.202311978943438,962,0.31875670746418655,0.3327716399875533,138,0.23313356986891934,0.14751043227365213,962,33,962.0,138.0,138.0,GATA3
DGKZ,0.2026365810179359,0.19595205812139935,127,0.26270162667953917,0.2502848946350588,93,0.23266910384873754,0.2026365810179359,127,34,127.0,93.0,93.0,GATA3
IL2RB,0.23036679689332723,0.21474910555967194,227,0.23428831473423642,0.23125760275533763,1069,0.23232755581378184,0.23036679689332723,1069,35,227.0,1069.0,227.0,GATA3
